document_id,clean_text,label
Doc_1,in the era of burgeoning electric vehicle ev popularity understanding the patterns of ev users behavior is imperative this paper examines the trends in household charging sessions timing duration and energy consumption by analyzing real world residential charging data by leveraging the information collected from each session a novel framework is introduced for the efficient real time prediction of important charging characteristics utilizing historical data and user specific features machine learning models are trained to predict the connection duration charging duration charging demand and time until the next session these models enhance the understanding of ev users behavior and provide practical tools for optimizing the ev charging infrastructure and effectively managing the charging demand as the transportation sector becomes increasingly electrified this work aims to empower stakeholders with insights and reliable models enabling them to anticipate the localized demand and contribute to the sustainable integration of electric vehicles into the grid,Machine Learning
Doc_2,background meditation apps have surged in popularity in recent years with an increasing number of individuals turning to these apps to cope with stress including during the covid pandemic meditation apps are the most commonly used mental health apps for depression and anxiety however little is known about who is well suited to these apps objective this study aimed to develop and test a data driven algorithm to predict which individuals are most likely to benefit from app based meditation training methods using randomized controlled trial data comparing a week meditation app healthy minds program hmp with an assessment only control condition in school system employees n we developed an algorithm to predict who is most likely to benefit from hmp baseline clinical and demographic characteristics were submitted to a machine learning model to develop a personalized advantage index pai reflecting an individual s expected reduction in distress primary outcome from hmp versus control results a significant group pai interaction emerged t p indicating that pai scores moderated group differences in outcomes a regression model that included repetitive negative thinking as the sole baseline predictor performed comparably well finally we demonstrate the translation of a predictive model into personalized recommendations of expected benefit conclusions overall the results revealed the potential of a data driven algorithm to inform which individuals are most likely to benefit from a meditation app such an algorithm could be used to objectively communicate expected benefits to individuals allowing them to make more informed decisions about whether a meditation app is appropriate for them trial registration clinicaltrials gov nct https clinicaltrials gov ct show nct,Machine Learning
Doc_3,background humans must be able to cope with the huge amounts of information produced by the information technology revolution as a result automatic text summarization is being employed in a range of industries to assist individuals in identifying the most important information for text summarization two approaches are mainly considered text summarization by the extractive and abstractive methods the extractive summarisation approach selects chunks of sentences like source documents while the abstractive approach can generate a summary based on mined keywords for low resourced languages e g urdu extractive summarization uses various models and algorithms however the study of abstractive summarization in urdu is still a challenging task because there are so many literary works in urdu producing abstractive summaries demands extensive research methodology this article proposed a deep learning model for the urdu language by using the urdu million news dataset and compared its performance with the two widely used methods based on machine learning such as support vector machine svm and logistic regression lr the results show that the suggested deep learning model performs better than the other two approaches the summaries produced by extractive summaries are processed using the encoder decoder paradigm to create an abstractive summary results with the help of urdu language specialists the system generated summaries were validated showing the proposed model s improvement and accuracy,Machine Learning
Doc_4,the growing number of cloud based services has led to a rising threat of distributed denial of service ddos attacks these attacks can cause significant harm to businesses and organizations by overwhelming their network resources resulting in the unavailability of critical services the traditional defense mechanisms such as firewalls systems are becoming insufficient to cope with the scale and complexity of ddos attacks in this research we propose a new machine learning approach based on ensemble learning to detect ddos attacks in cloud environments the proposed method utilizes various features extracted from network traffic to train machine learning algorithms the proposed solution is expected to be effective in detecting ddos attacks in real time with high accuracy,Machine Learning
Doc_5,diffusion generative models a class of machine learning techniques have shown remarkable promise in materials science and chemistry by enabling the precise generation of complex molecular structures in this article we propose a novel application of diffusion generative models for stabilizing reactive molecular structures identified through quantum mechanical screening specifically we focus on the design challenge presented by singlet fission sf a phenomenon crucial for advancing solar cell efficiency beyond theoretical limits while theoretical chemistry has been successful in predicting intermolecular arrangements with enhanced sf coupling the practical implementation of these configurations faces challenges due to discrepancies between favorable and stabilized structures to address this gap we introduce a three step strategy combining quantum mechanical screening for identifying optimal molecular arrangements and diffusion generative models for predicting stabilizing linkers through a case study of cibalackrot dimers a promising sf material we demonstrate the efficacy of our approach in enhancing sf efficiency by stabilizing the desired molecular arrangements,Machine Learning
Doc_6,the traditional machine learning model cannot effectively identify the new network traffic data set resulting in the model failure therefore in this paper by analyzing the problems of current network intrusion detection nid and combining the application of transfer theory in the detection model a nid model based on transfer component analysis tca is proposed among them the specific mathematical derivation of the algorithm and the detection process of transfer model are introduced in detail then the classification performance of knn and svm based on tca algorithm for network abnormal traffic is compared the results show that the tca algorithm proposed in this paper can effectively improve the accuracy of nid which is meaningful to expand the application scope of network abnormal traffic detection scheme based on machine learning,Machine Learning
Doc_7,in tropical and subtropical areas malaria stands as a profound public health challenge causing an estimated million cases worldwide annually given the absence of a viable vaccine the timely and effective treatment of malaria remains a critical priority however the growing resistance of parasites to currently utilized drugs underscores the critical need for the identification of new antimalarial therapies here we aimed to identify potential new drug candidates against plasmodium falciparum the main causative agent of malaria by analyzing the transcriptomes of different life stages of the parasite and identifying highly expressed genes we searched for genes that were expressed in all stages of the parasite s life cycle including the asexual blood stage gametocyte stage liver stage and sexual stages in the insect vector using transcriptomics data from publicly available databases from this analysis we found overlapping genes including essential ones by searching through drug target databases we discovered potential drug targets and associated bioactive compounds we sought to expand this analysis to similar compounds to known drugs so we found a list of similar compounds which we predicted as actives and inactives using previously developed machine learning models against five life stages of plasmodium spp from this analysis two compounds were selected and the reactions were experimentally evaluated the compounds hsp and silvestrol aglycone showed potent inhibitory activity at nanomolar concentrations against the p falciparum d strain asexual blood stage moreover silvestrol aglycone exhibited low cytotoxicity in mammalian cells transmission blocking potential and inhibitory activity comparable to those of established antimalarials these findings warrant further investigation of silvestrol aglycone as a potential dual acting antimalarial and transmission blocking candidate for malaria control,Machine Learning
Doc_8,artificial intelligence ai has evolved from a computational tool into a transformative force reshaping every branch of engineering this review paper explores the depth and breadth of ai integration across major engineering disciplines including mechanical electrical electronics computer science civil chemical aerospace biomedical and industrial engineering by analysing recent advances in machine learning deep learning computer vision natural language processing and intelligent automation the paper highlights how ai enhances design optimization predictive maintenance smart manufacturing structural health monitoring energy management autonomous systems process control and human machine collaboration the study also examines domain specific applications such as digital twins industry ai driven materials discovery intelligent transportation personalized healthcare systems and sustainable infrastructure development furthermore the paper discusses emerging challenges involving data quality interoperability ethics and the need for interdisciplinary skill development this comprehensive review demonstrates that ai is not merely an add on technology but a foundational enabler driving innovation efficiency and intelligent decision making across all engineering fields shaping the future of global technological advancement,Machine Learning
Doc_9,recognition of student s behaviour in class based on video has a significant impact on both teacher quality and student attention previously student behaviour recognition focused only on single students with low performance and efficiency this study proposes a system for detecting student behaviour and attention in the classroom using computer vision and machine learning techniques and it uses a webcam to capture video of the students and analyse their facial expressions and eye movements to determine whether they are paying attention or not this can also detect the emotions of students the final output of our proposed system is it can detect different kinds of student behaviours in classrooms such as attention in class drowsiness emotion of students and finally provide the rating for staff,Machine Learning
Doc_10,historically much of machine learning research has focused on the performance of the algorithm alone but recently more attention has been focused on optimizing joint human algorithm performance here we analyze a specific type of human algorithm collaboration where the algorithm has access to a set of n items and presents a subset of size k to the human who selects a final item from among those k this scenario could model content recommendation route planning or any type of labeling task because both the human and algorithm have imperfect noisy information about the true ordering of items the key question is which value of k maximizes the probability that the best item will be ultimately selected for k performance is optimized by the algorithm acting alone and for k n it is optimized by the human acting alone surprisingly we show that for multiple of noise models it is optimal to set k in n that is there are strict benefits to collaborating even when the human and algorithm have equal accuracy separately we demonstrate this theoretically for the mallows model and experimentally for the random utilities models of noisy permutations however we show this pattern is reversed when the human is anchored on the algorithm s presented ordering the joint system always has strictly worse performance we extend these results to the case where the human and algorithm differ in their accuracy levels showing that there always exist regimes where a more accurate agent would strictly benefit from collaborating with a less accurate one but these regimes are asymmetric between the human and the algorithm s accuracy,Machine Learning
